# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-153970
# Timestamp: Thu, 16-Mar-2023 02:36:02
Gene ID	Gene Name	'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange	'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue
ENSG00000004059	ARF5	0.1	0.719716789434872
ENSG00000004139	SARM1	-0.2	0.741625814967074
ENSG00000004142	POLDIP2	-0.1	0.411129686941314
ENSG00000004399	PLXND1	-0.7	0.0363923982327182
ENSG00000004455	AK2	0.1	0.504848931285088
ENSG00000004478	FKBP4	-0.2	0.243896969334017
ENSG00000004534	RBM6	-0.1	0.682101518025231
ENSG00000004660	CAMKK1	-0.5	0.26369929558758
ENSG00000004700	RECQL	0.2	0.365400866430776
ENSG00000004766	VPS50	0.1	0.626382948460128
ENSG00000004779	NDUFAB1	0.1	0.721179889202373
ENSG00000004799	PDK4	-1.7	7.6071656036548E-22
ENSG00000004838	ZMYND10	0.1	0.907361407510402
ENSG00000004864	SLC25A13	0.2	0.572233384292397
ENSG00000004866	ST7	0.1	0.679301673825823
ENSG00000004897	CDC27	0.1	0.727889436786598
ENSG00000004975	DVL2	-0.4	0.0027910410521109
ENSG00000005001	PRSS22	0.3	0.094088436109381
ENSG00000005007	UPF1	-0.3	0.197821353547386
ENSG00000005020	SKAP2	0.1	0.562181972816652
ENSG00000005022	SLC25A5	-0.2	0.142265967971551
ENSG00000005059	MCUB	0.3	0.181482516551171
ENSG00000005073	HOXA11	0.2	0.737543639387338
ENSG00000005075	POLR2J	0.1	0.62395750002197
ENSG00000005100	DHX33	-0.3	0.513964699192835
ENSG00000005108	THSD7A	-0.7	0.00191089423322671
ENSG00000005156	LIG3	-0.1	0.840532349428737
ENSG00000005175	RPAP3	-0.1	0.747121110041952
ENSG00000005189	REXO5	0.2	0.706179128950702
ENSG00000005194	CIAPIN1	0.1	0.43115219521221
ENSG00000005206	SPPL2B	0.1	0.726281873878693
ENSG00000005238	FAM214B	0.3	0.0843342139336951
ENSG00000005243	COPZ2	0.4	0.165614087410071
ENSG00000005249	PRKAR2B	-1.2	8.73608680205859E-5
ENSG00000005339	CREBBP	-0.2	0.526106618636194
ENSG00000005379	TSPOAP1	-0.6	0.0876516381347634
ENSG00000005436	GCFC2	-0.1	0.854207670262818
ENSG00000005469	CROT	-0.5	0.00217844899283835
ENSG00000005483	KMT2E	-0.1	0.652020310674803
ENSG00000005486	RHBDD2	-0.4	1.84758993964436E-4
ENSG00000005700	IBTK	0.3	0.0385813154534666
ENSG00000005801	ZNF195	0.2	0.309573697366893
ENSG00000005810	MYCBP2	-0.3	0.220847566504685
ENSG00000005812	FBXL3	0.1	0.713633020993502
ENSG00000005882	PDK2	-0.3	0.167766286918325
ENSG00000005884	ITGA3	-0.1	0.501033678523199
ENSG00000005893	LAMP2	-0.2	0.414540884519366
ENSG00000006007	GDE1	-0.3	0.0550711471705926
ENSG00000006015	REX1BD	0.1	0.803481246459101
ENSG00000006016	CRLF1	-0.1	0.78018695871396
ENSG00000006042	TMEM98	0.1	0.539001496929581
ENSG00000006062	MAP3K14	-0.3	0.40913767934999
ENSG00000006118	TMEM132A	0.4	1.95054433441057E-5
ENSG00000006125	AP2B1	0.3	0.0444846610284056
ENSG00000006194	ZNF263	-0.1	0.551552553447431
ENSG00000006210	CX3CL1	0.2	0.647437120886104
ENSG00000006282	SPATA20	-0.1	0.787742028724637
ENSG00000006327	TNFRSF12A	0.4	0.023263928589756
ENSG00000006432	MAP3K9	0.2	0.258341235247658
ENSG00000006451	RALA	0.3	0.0158159703930969
ENSG00000006453	BAIAP2L1	0.3	0.090416345563135
ENSG00000006459	KDM7A	-0.1	0.817096980500665
ENSG00000006530	AGK	0.1	0.639016976274255
ENSG00000006534	ALDH3B1	-0.4	0.0549348255915954
ENSG00000006555	TTC22	-0.1	0.863293857090825
ENSG00000006606	CCL26	-0.5	0.170943183088929
ENSG00000006625	GGCT	0.1	0.821210696980893
ENSG00000006634	DBF4	-0.1	0.815417537751784
ENSG00000006695	COX10	-0.2	0.463664425346646
ENSG00000006704	GTF2IRD1	-0.2	0.408612317597236
ENSG00000006740	ARHGAP44	-0.4	0.202210235161364
ENSG00000006744	ELAC2	-0.1	0.55116739107396
ENSG00000006747	SCIN	-1.1	1.82436365230845E-5
ENSG00000006756	ARSD	0.1	0.506324826626757
ENSG00000006831	ADIPOR2	0.1	0.817017660691306
ENSG00000006837	CDKL3	-0.3	0.430881327079428
ENSG00000007047	MARK4	0.3	0.284255158066088
ENSG00000007062	PROM1	-0.4	0.350700077494726
ENSG00000007080	CCDC124	0.1	0.857293668912998
ENSG00000007168	PAFAH1B1	0.3	0.0154283859923168
ENSG00000007202	KIAA0100	-0.1	0.698447160578325
ENSG00000007255	TRAPPC6A	-0.3	0.117495095400788
ENSG00000007306	CEACAM7	-0.3	0.567303119510328
ENSG00000007341	ST7L	0.1	0.757058806931519
ENSG00000007384	RHBDF1	0.2	0.291331803626103
ENSG00000007392	LUC7L	0.2	0.492271645457456
ENSG00000007516	BAIAP3	-0.3	0.458623419005995
ENSG00000007520	TSR3	-0.2	0.342034383290993
ENSG00000007541	PIGQ	-0.1	0.526341433116152
ENSG00000007866	TEAD3	0.1	0.864218257920522
ENSG00000007923	DNAJC11	0.2	0.401072312429261
ENSG00000007933	FMO3	0.1	0.82636492751134
ENSG00000007944	MYLIP	-0.4	0.180669422944943
ENSG00000007952	NOX1	0.1	0.908730183556251
ENSG00000008018	PSMB1	0.2	0.294162974654017
ENSG00000008056	SYN1	0.1	0.898955414250046
ENSG00000008083	JARID2	-0.1	0.775555156702927
ENSG00000008086	CDKL5	0.3	0.53415024385636
ENSG00000008130	NADK	-0.2	0.256117329436419
ENSG00000008282	SYPL1	0.1	0.78179035263422
ENSG00000008283	CYB561	0.2	0.363599479848074
ENSG00000008294	SPAG9	0.1	0.578879233979363
ENSG00000008300	CELSR3	0.1	0.878918567855547
ENSG00000008323	PLEKHG6	-0.2	0.447496666599695
ENSG00000008324	SS18L2	-0.1	0.887780488714005
ENSG00000008382	MPND	-0.2	0.642047261948959
ENSG00000008394	MGST1	-0.6	1.46570295230567E-4
ENSG00000008441	NFIX	-0.3	0.234583901981872
ENSG00000008513	ST3GAL1	0.1	0.534431401688952
ENSG00000008516	MMP25	0.6	0.10205173095189
ENSG00000008517	IL32	1.0	6.49158124833744E-14
ENSG00000008710	PKD1	-0.2	0.706387044007006
ENSG00000008735	MAPK8IP2	-0.8	0.00460486283114719
ENSG00000008838	MED24	0.2	0.341038874490762
ENSG00000008853	RHOBTB2	-0.8	5.03135305341162E-8
ENSG00000008952	SEC62	0.1	0.845941245361712
ENSG00000008988	RPS20	0.1	0.4510174675874
ENSG00000009307	CSDE1	0.1	0.547399242954465
ENSG00000009413	REV3L	-0.4	0.0756841629369565
ENSG00000009830	POMT2	-0.2	0.302184679780874
ENSG00000009844	VTA1	0.2	0.501430476350984
ENSG00000010017	RANBP9	0.1	0.625545549530906
ENSG00000010030	ETV7	-0.2	0.571155556054563
ENSG00000010165	EEF1AKNMT	-0.1	0.799045815427512
ENSG00000010219	DYRK4	0.2	0.498210184987933
ENSG00000010244	ZNF207	0.2	0.0970431556720077
ENSG00000010256	UQCRC1	-0.1	0.625453296927702
ENSG00000010270	STARD3NL	0.1	0.549987241592611
ENSG00000010278	CD9	-0.1	0.410003791009531
ENSG00000010292	NCAPD2	-0.2	0.435014935640302
ENSG00000010295	IFFO1	0.1	0.834222734753439
ENSG00000010310	GIPR	-0.3	0.497728147016066
ENSG00000010318	PHF7	-0.2	0.584848448753529
ENSG00000010322	NISCH	-0.2	0.306737994470813
ENSG00000010361	FUZ	-0.1	0.824465433586093
ENSG00000010404	IDS	-0.1	0.652479279943105
ENSG00000010438	PRSS3	-0.1	0.892748991482842
ENSG00000010539	ZNF200	0.1	0.753307449260939
ENSG00000010626	LRRC23	-0.1	0.807555987365406
ENSG00000010704	HFE	-0.3	0.355517849964945
ENSG00000010803	SCMH1	-0.4	0.0598706072948878
ENSG00000010810	FYN	0.4	0.00797665814103996
ENSG00000010818	HIVEP2	-0.2	0.454222539917353
ENSG00000011007	ELOA	0.3	0.040809144169581
ENSG00000011009	LYPLA2	0.2	0.336031923847838
ENSG00000011021	CLCN6	-0.3	0.210900629952325
ENSG00000011028	MRC2	-0.1	0.646077573319627
ENSG00000011198	ABHD5	0.1	0.824553315718112
ENSG00000011201	ANOS1	0.3	0.254080565150943
ENSG00000011243	AKAP8L	-0.2	0.405177586410252
ENSG00000011258	MBTD1	-0.3	0.557617963502517
ENSG00000011260	UTP18	0.1	0.74588715509785
ENSG00000011295	TTC19	0.4	0.00124303906974453
ENSG00000011347	SYT7	-0.7	0.00569947263200567
ENSG00000011405	PIK3C2A	-0.1	0.646610044366922
ENSG00000011422	PLAUR	1.1	3.7560912864127E-17
ENSG00000011454	RABGAP1	-0.1	0.807028364439699
ENSG00000011465	DCN	-1.3	2.46909406934762E-6
ENSG00000011478	QPCTL	-0.1	0.805123887993159
ENSG00000011485	PPP5C	0.1	0.833146778555539
ENSG00000011523	CEP68	-0.5	0.00957985480693256
ENSG00000011566	MAP4K3	0.1	0.810146386382053
ENSG00000011638	TMEM159	0.1	0.551505029300928
ENSG00000011677	GABRA3	0.2	0.797724662825693
ENSG00000012048	BRCA1	0.2	0.775039573447733
ENSG00000012061	ERCC1	0.1	0.861505267168454
ENSG00000012171	SEMA3B	0.3	0.221468048630254
ENSG00000012211	PRICKLE3	-0.1	0.739857450521588
ENSG00000012223	LTF	-0.4	0.311522700476527
ENSG00000012660	ELOVL5	-0.1	0.709059808518058
ENSG00000012817	KDM5D	-0.2	0.405606907139402
ENSG00000012963	UBR7	0.1	0.832332669928179
ENSG00000012983	MAP4K5	0.1	0.620157675099282
ENSG00000013016	EHD3	0.6	6.43522414697025E-7
ENSG00000013275	PSMC4	0.3	0.0230180452457133
ENSG00000013364	MVP	-0.1	0.764777472887894
ENSG00000013374	NUB1	0.1	0.704707752904164
ENSG00000013375	PGM3	0.4	0.0131469991929356
ENSG00000013392	RWDD2A	0.3	0.32549482620575
ENSG00000013441	CLK1	-0.4	0.0700109873628038
ENSG00000013503	POLR3B	0.4	0.0387106378515816
ENSG00000013523	ANGEL1	-0.3	0.0643700700809986
ENSG00000013563	DNASE1L1	-0.2	0.535425164432547
ENSG00000013573	DDX11	-0.1	0.826053517152454
ENSG00000013583	HEBP1	-0.1	0.704707752904164
ENSG00000013588	GPRC5A	0.3	0.0565364194274928
ENSG00000013619	MAMLD1	0.3	0.416315582030961
ENSG00000013810	TACC3	-0.3	0.459406940445851
ENSG00000014123	UFL1	0.2	0.520912144632777
ENSG00000014138	POLA2	0.1	0.906597616694874
ENSG00000014216	CAPN1	0.1	0.511912716777653
ENSG00000014257	ACP3	-0.1	0.905682608126531
ENSG00000014641	MDH1	-0.2	0.212069197967659
ENSG00000014824	SLC30A9	0.2	0.36901700580999
ENSG00000015133	CCDC88C	-0.2	0.342034383290993
ENSG00000015153	YAF2	0.3	0.370303666895466
ENSG00000015171	ZMYND11	-0.1	0.840694324399426
ENSG00000015475	BID	0.4	0.00186317544250353
ENSG00000015479	MATR3	0.1	0.890125010449796
ENSG00000015532	XYLT2	-0.2	0.289400160233125
ENSG00000015676	NUDCD3	0.1	0.778699808188034
ENSG00000016082	ISL1	-0.4	0.271874663595018
ENSG00000016391	CHDH	-1.1	3.72376946110551E-5
ENSG00000016402	IL20RA	-0.6	0.00651414282766466
ENSG00000016602	CLCA4	-0.3	0.44892386926139
ENSG00000017260	ATP2C1	0.3	0.0228896580569933
ENSG00000017797	RALBP1	-0.1	0.492271645457456
ENSG00000018189	RUFY3	-0.1	0.746627329255906
ENSG00000018236	CNTN1	-0.3	0.391106921004796
ENSG00000018408	WWTR1	-0.1	0.704117931808216
ENSG00000018510	AGPS	0.1	0.804610896120195
ENSG00000018610	STEEP1	-0.1	0.91570608628777
ENSG00000019102	VSIG2	0.2	0.494465399833201
ENSG00000019144	PHLDB1	-0.2	0.112544309360232
ENSG00000019169	MARCO	0.9	1.04141873424405E-4
ENSG00000019186	CYP24A1	-0.5	0.0256096634822587
ENSG00000019485	PRDM11	-0.6	0.0381359180664365
ENSG00000019549	SNAI2	-0.2	0.429589289276346
ENSG00000019582	CD74	-0.4	0.02713566082091
ENSG00000020129	NCDN	0.2	0.256127295812256
ENSG00000020256	ZFP64	-0.2	0.240556486149179
ENSG00000020426	MNAT1	0.2	0.468940265004339
ENSG00000020577	SAMD4A	0.1	0.836237311611342
ENSG00000020633	RUNX3	-0.2	0.660735719602793
ENSG00000020922	MRE11	-0.3	0.271464466836154
ENSG00000021300	PLEKHB1	-0.4	0.199197767323667
ENSG00000021355	SERPINB1	0.8	1.30706401795111E-14
ENSG00000021645	NRXN3	-0.2	0.774162398956677
ENSG00000021826	CPS1	0.2	0.688862587850864
ENSG00000022267	FHL1	-0.1	0.576986644930066
ENSG00000022277	RTF2	0.1	0.6116057146577
ENSG00000022556	NLRP2	0.3	0.207231917974408
ENSG00000022567	SLC45A4	-0.1	0.858657875888267
ENSG00000022840	RNF10	-0.1	0.806504049041064
ENSG00000022976	ZNF839	0.1	0.701331485495873
ENSG00000023041	ZDHHC6	0.3	0.0594859376504607
ENSG00000023171	GRAMD1B	-0.3	0.513356882231257
ENSG00000023191	RNH1	-0.1	0.822589481106863
ENSG00000023228	NDUFS1	-0.1	0.687938335285326
ENSG00000023287	RB1CC1	-0.3	0.107207153811417
ENSG00000023318	ERP44	0.3	0.0606282978299545
ENSG00000023330	ALAS1	0.1	0.748333281687367
ENSG00000023445	BIRC3	0.6	7.42192357381328E-5
ENSG00000023516	AKAP11	0.1	0.880384165028726
ENSG00000023572	GLRX2	0.2	0.434574699724434
ENSG00000023608	SNAPC1	-0.4	0.0969876672950249
ENSG00000023697	DERA	0.2	0.185619274176859
ENSG00000023734	STRAP	0.1	0.463145891727927
ENSG00000023902	PLEKHO1	-0.1	0.872794126912697
ENSG00000023909	GCLM	-0.3	0.105461990148316
ENSG00000024048	UBR2	-0.1	0.637073784206275
ENSG00000024422	EHD2	-0.2	0.324153053994271
ENSG00000024862	CCDC28A	-0.6	0.00222369606324523
ENSG00000025039	RRAGD	-0.2	0.505886153910243
ENSG00000025156	HSF2	-0.2	0.578879233979363
ENSG00000025293	PHF20	0.1	0.482713740107832
ENSG00000025423	HSD17B6	-0.2	0.671269950040769
ENSG00000025434	NR1H3	-0.2	0.740944808199874
ENSG00000025708	TYMP	0.5	0.00343895154757044
ENSG00000025770	NCAPH2	0.1	0.875456725320137
ENSG00000025772	TOMM34	0.2	0.333083816935315
ENSG00000025796	SEC63	0.2	0.498996896495208
ENSG00000025800	KPNA6	-0.1	0.716021922466685
ENSG00000026025	VIM	0.2	0.109937581460529
ENSG00000026036	RTEL1-TNFRSF6B	-0.2	0.791673487862225
ENSG00000026103	FAS	0.2	0.214782283122493
ENSG00000026297	RNASET2	-0.4	0.0460348197180068
ENSG00000026508	CD44	0.1	0.783160121239178
ENSG00000026652	AGPAT4	0.1	0.893431363201006
ENSG00000026751	SLAMF7	0.2	0.684804920300236
ENSG00000026950	BTN3A1	-0.2	0.319358821595367
ENSG00000027001	MIPEP	-0.2	0.428951714443878
ENSG00000027075	PRKCH	-0.1	0.500187140317658
ENSG00000027697	IFNGR1	0.1	0.658406448724362
ENSG00000027847	B4GALT7	0.1	0.686339495850649
ENSG00000027869	SH2D2A	1.1	2.63963144522514E-4
ENSG00000028116	VRK2	0.3	0.080223934243123
ENSG00000028137	TNFRSF1B	-0.2	0.704024875046269
ENSG00000028203	VEZT	0.6	6.107600368141E-8
ENSG00000028277	POU2F2	0.4	0.191397982364347
ENSG00000028310	BRD9	0.2	0.280533045658514
ENSG00000028528	SNX1	0.1	0.610813079867359
ENSG00000028839	TBPL1	0.1	0.887801179119679
ENSG00000029153	ARNTL2	0.8	7.99955231769471E-13
ENSG00000029363	BCLAF1	0.2	0.535353430660594
ENSG00000029534	ANK1	-1.9	5.41727384689249E-31
ENSG00000029725	RABEP1	-0.1	0.545779815426935
ENSG00000029993	HMGB3	0.1	0.82125399332066
ENSG00000030066	NUP160	-0.2	0.180253620388529
ENSG00000030110	BAK1	0.2	0.271538235931219
ENSG00000030419	IKZF2	0.3	0.138178940363938
ENSG00000030582	GRN	-0.3	0.00757580514439686
ENSG00000031003	FAM13B	0.2	0.629557592620908
ENSG00000031081	ARHGAP31	0.7	4.24659556482763E-4
ENSG00000031691	CENPQ	0.2	0.72055802598153
ENSG00000031698	SARS1	0.3	0.00743909151829053
ENSG00000032219	ARID4A	0.1	0.741625814967074
ENSG00000032389	EIPR1	0.2	0.378757255913887
ENSG00000032444	PNPLA6	-0.1	0.48534162940965
ENSG00000032742	IFT88	0.3	0.435014935640302
ENSG00000033030	ZCCHC8	0.2	0.335012793885904
ENSG00000033170	FUT8	-0.1	0.736026058194432
ENSG00000033178	UBA6	0.1	0.563292105539622
ENSG00000033627	ATP6V0A1	0.2	0.288838700677345
ENSG00000033800	PIAS1	-0.1	0.82672825908981
ENSG00000033867	SLC4A7	-0.5	5.46212486476808E-4
ENSG00000034053	APBA2	0.1	0.654244190469114
ENSG00000034152	MAP2K3	0.2	0.158577892527085
ENSG00000034239	EFCAB1	-0.5	0.193038084998567
ENSG00000034510	TMSB10	0.4	0.00167468834847425
ENSG00000034677	RNF19A	0.2	0.184161304014207
ENSG00000034693	PEX3	0.1	0.701571862735643
ENSG00000034713	GABARAPL2	0.1	0.844140871193881
ENSG00000035115	SH3YL1	-0.1	0.826390142228162
ENSG00000035141	FAM136A	0.2	0.216522700505617
ENSG00000035403	VCL	0.2	0.178451378790832
ENSG00000035499	DEPDC1B	-0.3	0.524590696603591
ENSG00000035664	DAPK2	-1.0	6.17034183424499E-10
ENSG00000035681	NSMAF	-0.2	0.228638096749469
ENSG00000035687	ADSS2	0.1	0.655744544844484
ENSG00000036054	TBC1D23	0.1	0.658314908147028
ENSG00000036257	CUL3	0.1	0.631931274426983
ENSG00000036448	MYOM2	0.2	0.689024016641623
ENSG00000036672	USP2	-0.1	0.912229202459753
ENSG00000037042	TUBG2	-0.2	0.250858683195145
ENSG00000037241	RPL26L1	0.1	0.677473466950616
ENSG00000037474	NSUN2	0.2	0.32549482620575
ENSG00000037749	MFAP3	0.2	0.191853902028123
ENSG00000037757	MRI1	-0.1	0.773305397128813
ENSG00000037897	METTL1	0.2	0.630355952776945
ENSG00000038002	AGA	0.1	0.672663852330178
ENSG00000038210	PI4K2B	0.3	0.358604452022625
ENSG00000038219	BOD1L1	0.1	0.825754720746512
ENSG00000038274	MAT2B	-0.1	0.840694324399426
ENSG00000038295	TLL1	-0.7	0.0487097768509922
ENSG00000038358	EDC4	0.1	0.678489333835374
ENSG00000038382	TRIO	-0.1	0.727090989930777
ENSG00000038427	VCAN	0.6	5.047798826578E-6
ENSG00000038532	CLEC16A	-0.1	0.819953036626162
ENSG00000039068	CDH1	0.4	1.03625460828316E-4
ENSG00000039123	MTREX	0.1	0.768095642570612
ENSG00000039319	ZFYVE16	0.2	0.498210184987933
ENSG00000039560	RAI14	-0.2	0.24992055707974
ENSG00000039650	PNKP	-0.4	0.0287285340580943
ENSG00000040199	PHLPP2	0.1	0.850502718329468
ENSG00000040275	SPDL1	0.2	0.356215029479563
ENSG00000040341	STAU2	0.1	0.824465433586093
ENSG00000040487	SLC66A1	-0.4	0.0214329004797243
ENSG00000040531	CTNS	-0.3	0.148690509702857
ENSG00000040608	RTN4R	-0.2	0.549987241592611
ENSG00000040633	PHF23	0.1	0.699956558207473
ENSG00000040731	CDH10	0.2	0.60368391417517
ENSG00000040933	INPP4A	-0.3	0.19049355176521
ENSG00000041353	RAB27B	0.2	0.510158707700542
ENSG00000041357	PSMA4	0.2	0.311463812371672
ENSG00000041802	LSG1	-0.1	0.872498687691922
ENSG00000041880	PARP3	0.2	0.543265116320325
ENSG00000041982	TNC	0.9	1.92015943125224E-9
ENSG00000041988	THAP3	-0.1	0.875252297026962
ENSG00000042062	RIPOR3	-0.4	0.384254520043414
ENSG00000042088	TDP1	0.1	0.741556675675538
ENSG00000042286	AIFM2	0.1	0.763685396123055
ENSG00000042317	SPATA7	-0.2	0.690077552485903
ENSG00000042429	MED17	0.2	0.716446965714242
ENSG00000042445	RETSAT	-0.3	0.0333057087834562
ENSG00000042493	CAPG	0.1	0.639250316868306
ENSG00000042753	AP2S1	0.3	0.090416345563135
ENSG00000042832	TG	-1.0	2.92051822553718E-4
ENSG00000042980	ADAM28	0.4	0.0966136979303066
ENSG00000043143	JADE2	-0.9	1.43701528311493E-10
ENSG00000043514	TRIT1	-0.1	0.710035623654016
ENSG00000044090	CUL7	-0.3	0.0653706950151818
ENSG00000044115	CTNNA1	0.2	0.180669422944943
ENSG00000044446	PHKA2	-0.1	0.818710850140286
ENSG00000044459	CNTLN	-0.3	0.44892386926139
ENSG00000044524	EPHA3	-0.2	0.741820595122669
ENSG00000044574	HSPA5	0.3	0.0277376673446062
ENSG00000046604	DSG2	-0.1	0.767899769216456
ENSG00000046651	OFD1	0.1	0.774162398956677
ENSG00000046653	GPM6B	0.1	0.883879846634794
ENSG00000047056	WDR37	0.1	0.796539168638184
ENSG00000047188	YTHDC2	0.1	0.790443182949034
ENSG00000047230	CTPS2	0.2	0.233984591721863
ENSG00000047249	ATP6V1H	0.1	0.488253753145532
ENSG00000047346	FAM214A	-0.2	0.507067481738721
ENSG00000047365	ARAP2	-0.1	0.756690858707614
ENSG00000047410	TPR	-0.1	0.603613572728933
ENSG00000047457	CP	-0.4	0.00744057501199616
ENSG00000047578	KATNIP	-0.3	0.184880560945041
ENSG00000047621	C12orf4	0.3	0.219377709691465
ENSG00000047849	MAP4	0.2	0.260098641469163
ENSG00000047932	GOPC	0.1	0.648146084135604
ENSG00000047936	ROS1	0.3	0.327455451827479
ENSG00000048028	USP28	-0.4	0.00649796319892823
ENSG00000048052	HDAC9	0.6	1.55614571724493E-7
ENSG00000048162	NOP16	0.1	0.698646928188229
ENSG00000048342	CC2D2A	-0.1	0.925638812776814
ENSG00000048392	RRM2B	-0.4	0.00784992893300236
ENSG00000048405	ZNF800	0.2	0.269515930607326
ENSG00000048544	MRPS10	0.2	0.316408355234545
ENSG00000048707	VPS13D	-0.7	1.97931881453879E-8
ENSG00000048740	CELF2	0.5	0.00286335913615474
ENSG00000048991	R3HDM1	-0.3	0.289319828291619
ENSG00000049089	COL9A2	0.4	0.172099670427527
ENSG00000049130	KITLG	-0.6	8.68148769505925E-4
ENSG00000049167	ERCC8	0.2	0.608265312056468
ENSG00000049192	ADAMTS6	1.0	9.9836773807628E-4
ENSG00000049239	H6PD	-0.6	5.32985794063025E-4
ENSG00000049246	PER3	-0.8	7.65659788170234E-6
ENSG00000049247	UTS2	0.1	0.867891793194901
ENSG00000049249	TNFRSF9	1.2	1.65684526099217E-4
ENSG00000049283	EPN3	-0.7	1.21464248292671E-5
ENSG00000049323	LTBP1	0.3	0.174681661860045
ENSG00000049449	RCN1	0.2	0.459401984041357
ENSG00000049541	RFC2	0.1	0.769277147197161
ENSG00000049618	ARID1B	-0.1	0.475981717873937
ENSG00000049656	CLPTM1L	-0.1	0.77460049917037
ENSG00000049769	PPP1R3F	-0.2	0.647437120886104
ENSG00000049860	HEXB	-0.5	5.99412329765386E-7
ENSG00000049883	PTCD2	-0.1	0.926215626377372
ENSG00000050130	JKAMP	0.1	0.562190280576677
ENSG00000050165	DKK3	-0.2	0.195427750650621
ENSG00000050327	ARHGEF5	-0.1	0.72853530416841
ENSG00000050344	NFE2L3	0.1	0.678489333835374
ENSG00000050393	MCUR1	-0.1	0.744810860211666
ENSG00000050405	LIMA1	-0.2	0.150296282101589
ENSG00000050426	LETMD1	-0.2	0.462384873647672
ENSG00000050730	TNIP3	1.0	0.00113187964364864
ENSG00000050767	COL23A1	-0.8	0.015547000712676
ENSG00000051009	FAM160A2	0.1	0.71476625242538
ENSG00000051108	HERPUD1	0.3	0.00296632742555495
ENSG00000051523	CYBA	0.2	0.178508162846814
ENSG00000051596	THOC3	-0.1	0.785422645944105
ENSG00000051620	HEBP2	0.3	0.0243799320126039
ENSG00000051825	MPHOSPH9	-0.4	0.282900482202339
ENSG00000052126	PLEKHA5	-0.1	0.858138481943919
ENSG00000052344	PRSS8	0.1	0.624379387962272
ENSG00000052723	SIKE1	0.2	0.398276190040441
ENSG00000052749	RRP12	-0.1	0.705848505790246
ENSG00000052795	FNIP2	-0.5	0.00109143399503094
ENSG00000052802	MSMO1	0.2	0.449452811424781
ENSG00000052841	TTC17	-0.2	0.230539596367765
ENSG00000053108	FSTL4	-0.6	0.141359103737287
ENSG00000053254	FOXN3	-0.7	4.43790643200906E-7
ENSG00000053371	AKR7A2	-0.3	0.0845993672230401
ENSG00000053438	NNAT	0.1	0.887437784184044
ENSG00000053747	LAMA3	0.4	0.00207289557572343
ENSG00000053770	AP5M1	0.1	0.836846779478075
ENSG00000053900	ANAPC4	0.2	0.341887916442241
ENSG00000053918	KCNQ1	-0.3	0.208520148961554
ENSG00000054116	TRAPPC3	0.1	0.82672825908981
ENSG00000054118	THRAP3	-0.2	0.284503817697684
ENSG00000054148	PHPT1	-0.1	0.832913733504446
ENSG00000054219	LY75	-0.2	0.700585804380203
ENSG00000054267	ARID4B	-0.1	0.836583370590673
ENSG00000054277	OPN3	0.1	0.594902184981389
ENSG00000054282	SDCCAG8	0.2	0.280080049148934
ENSG00000054392	HHAT	0.1	0.856348188697418
ENSG00000054523	KIF1B	0.1	0.709778440857561
ENSG00000054598	FOXC1	-0.2	0.259092001965667
