Gene ID	Gene Name	SRR12168547	SRR12168546	SRR12168545	SRR12168544	SRR12168543	SRR12168542	SRR12168541	SRR12168540	SRR12168539	SRR12168538	SRR12168537	SRR12168536
ENSG00000006210	CX3CL1	801	766	498	530	634	683	603	524	258	232	592	541
ENSG00000006282	SPATA20	758	753	555	537	639	698	683	720	470	448	770	749
ENSG00000006283	CACNA1G	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000006327	TNFRSF12A	7894	7909	8037	7761	8194	7797	6486	6525	3880	3933	5864	6056
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	798	901	966	945	709	689	696	726	497	465	699	688
ENSG00000006451	RALA	1727	1780	1960	1955	1973	1898	1761	1699	1150	1139	1193	1126
ENSG00000006453	BAIAP2L1	926	935	1152	1096	945	919	938	925	626	577	717	694
ENSG00000006459	KDM7A	146	118	155	141	105	80	129	166	110	81	119	114
ENSG00000006468	ETV1	6	4	3	4	3	0	1	5	4	8	0	2
ENSG00000006530	AGK	307	308	324	331	306	248	270	300	252	259	197	211
ENSG00000006534	ALDH3B1	174	171	141	159	117	107	209	213	148	145	184	162
ENSG00000006555	TTC22	365	321	358	370	249	286	366	350	299	280	285	239
ENSG00000006576	PHTF2	229	198	208	206	206	221	233	234	218	186	151	161
ENSG00000006606	CCL26	3	6	2	2	1	1	12	14	4	7	3	4
ENSG00000006607	FARP2	403	408	461	437	370	386	392	408	335	320	376	330
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	142	154	128	131	131	146	161	146	96	104	91	110
ENSG00000006634	DBF4	22	24	30	26	36	26	28	37	33	30	24	16
ENSG00000006638	TBXA2R	7	5	1	1	1	4	5	4	0	2	3	3
ENSG00000006652	IFRD1	1150	1121	1747	1762	1193	1231	1466	1368	1211	1196	1118	1088
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	265	250	239	238	207	244	253	264	254	256	232	211
ENSG00000006704	GTF2IRD1	222	244	267	254	184	191	246	234	209	217	259	241
ENSG00000006712	PAF1	667	692	729	775	626	620	671	693	507	494	626	594
ENSG00000006715	VPS41	996	1080	1008	1079	900	867	1203	1137	727	703	758	707
ENSG00000006740	ARHGAP44	57	61	56	67	59	40	82	81	70	65	63	48
ENSG00000006744	ELAC2	1627	1602	1900	1864	1443	1386	1723	1769	1458	1467	1550	1545
ENSG00000006747	SCIN	34	43	65	52	18	17	87	95	115	116	81	70
ENSG00000006756	ARSD	344	303	358	366	291	283	369	288	235	216	207	260
ENSG00000006757	PNPLA4	187	167	213	214	163	165	213	205	139	146	142	158
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	50	41	57	66	58	72	49	90	49	36	32	28
ENSG00000006837	CDKL3	4	4	5	2	1	2	7	15	4	1	5	4
ENSG00000007001	UPP2	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000007038	PRSS21	10	6	3	4	17	16	16	9	5	2	11	10
ENSG00000007047	MARK4	67	65	78	92	73	68	50	47	40	53	57	52
ENSG00000007062	PROM1	49	32	24	27	35	56	50	60	24	33	55	66
ENSG00000007080	CCDC124	828	862	923	922	716	714	776	721	622	584	773	763
ENSG00000007129	CEACAM21	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	953	938	1025	1050	1037	1034	849	903	658	639	620	622
ENSG00000007171	NOS2	0	1	2	2	4	6	0	0	0	0	1	1
ENSG00000007174	DNAH9	3	1	3	2	1	0	0	2	0	0	0	1
ENSG00000007202	KIAA0100	2102	2095	2318	2341	1804	1779	2075	2036	1678	1692	2189	2216
ENSG00000007216	SLC13A2	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000007237	GAS7	8	8	6	9	2	2	3	8	2	4	1	1
ENSG00000007255	TRAPPC6A	204	228	208	197	154	160	271	247	196	187	200	200
ENSG00000007264	MATK	1	1	3	3	2	0	0	0	0	2	0	0
ENSG00000007306	CEACAM7	8	9	11	9	10	12	14	17	11	2	22	12
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	SCN4A	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000007341	ST7L	89	76	111	105	93	110	90	92	75	75	80	65
ENSG00000007350	TKTL1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	0	1	0	1	0	0	0	0	0	1	0	0
ENSG00000007376	RPUSD1	516	532	567	577	450	458	533	522	389	417	471	460
ENSG00000007384	RHBDF1	1023	1029	1049	1034	884	853	919	924	650	584	808	738
ENSG00000007392	LUC7L	230	209	285	274	221	200	258	215	151	163	165	176
ENSG00000007402	CACNA2D2	3	1	2	3	1	5	3	2	3	1	2	0
ENSG00000007516	BAIAP3	23	18	22	22	8	10	19	18	15	18	36	26
ENSG00000007520	TSR3	666	696	824	794	569	549	752	706	607	644	701	799
ENSG00000007541	PIGQ	823	829	791	733	746	686	900	932	614	600	776	762
ENSG00000007545	CRAMP1	77	93	83	79	75	80	68	55	81	75	94	71
ENSG00000007866	TEAD3	307	338	337	369	314	310	360	319	228	217	296	288
ENSG00000007908	SELE	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000007923	DNAJC11	613	546	620	597	545	550	558	535	383	364	461	476
ENSG00000007933	FMO3	6	5	8	11	6	5	6	8	0	5	6	4
ENSG00000007944	MYLIP	33	24	31	40	30	23	43	48	43	36	39	29
ENSG00000007952	NOX1	8	15	12	5	9	12	10	14	3	7	8	8
ENSG00000007968	E2F2	1	1	4	6	0	0	1	1	1	2	0	0
ENSG00000008018	PSMB1	2808	2660	2799	2719	2381	2309	2619	2605	1848	1799	1887	1886
ENSG00000008056	SYN1	6	6	8	2	4	7	6	3	4	6	3	3
ENSG00000008083	JARID2	133	151	171	154	138	167	186	174	136	125	128	137
ENSG00000008086	CDKL5	45	49	78	92	39	36	46	48	36	37	38	34
ENSG00000008118	CAMK1G	0	0	10	12	3	2	0	0	2	0	0	0
ENSG00000008128	CDK11A	2	5	2	6	2	4	4	6	3	1	7	2
ENSG00000008130	NADK	958	958	1004	912	790	814	999	1035	868	902	904	844
ENSG00000008196	TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	1	0	0	1	0	2	4	6	1	1	0	2
ENSG00000008256	CYTH3	397	407	491	479	457	437	469	426	361	372	425	410
ENSG00000008277	ADAM22	1	1	1	4	1	3	1	4	4	2	4	2
ENSG00000008282	SYPL1	2201	2339	2060	2075	2457	2481	2539	2547	1834	1883	1426	1423
ENSG00000008283	CYB561	861	881	860	838	791	779	729	730	612	600	673	644
ENSG00000008294	SPAG9	820	752	976	878	763	763	878	839	565	635	608	598
ENSG00000008300	CELSR3	6	14	16	11	7	8	8	7	8	11	8	5
ENSG00000008311	AASS	19	16	23	29	24	25	19	23	22	21	23	17
ENSG00000008323	PLEKHG6	436	437	411	432	294	345	445	448	345	286	432	461
ENSG00000008324	SS18L2	171	170	156	124	155	138	171	171	127	145	124	123
ENSG00000008382	MPND	53	40	49	50	44	31	63	59	25	31	54	58
ENSG00000008394	MGST1	1942	2027	2061	2027	1855	1852	3045	3005	2860	2910	2032	1979
ENSG00000008405	CRY1	211	188	328	279	247	242	246	271	237	211	163	194
ENSG00000008438	PGLYRP1	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000008441	NFIX	78	93	72	76	64	64	96	95	81	85	78	81
ENSG00000008513	ST3GAL1	1062	1037	1177	1199	861	878	978	876	703	696	878	888
ENSG00000008516	MMP25	28	28	34	39	28	17	16	12	17	15	15	11
ENSG00000008517	IL32	2194	2261	2223	2223	2035	2088	1039	1027	654	643	1067	1003
ENSG00000008710	PKD1	100	94	123	128	61	56	89	109	80	62	121	109
ENSG00000008735	MAPK8IP2	25	42	27	34	19	19	45	53	56	41	48	48
ENSG00000008838	MED24	1149	1140	1242	1198	909	949	931	925	755	815	849	889
ENSG00000008853	RHOBTB2	260	267	254	272	209	211	403	400	372	346	401	395
ENSG00000008869	HEATR5B	299	337	316	312	318	297	316	346	238	210	307	270
ENSG00000008952	SEC62	1029	1046	974	982	1104	1099	1198	1145	886	839	690	660
ENSG00000008988	RPS20	837	739	813	792	714	676	721	733	563	530	603	581
ENSG00000009307	CSDE1	4790	4869	5565	5632	4685	4631	5067	4968	3876	3862	3732	3714
ENSG00000009335	UBE3C	1261	1238	1428	1524	1174	1225	1308	1349	1088	1049	1198	1193
ENSG00000009413	REV3L	66	62	75	65	57	53	103	103	68	78	53	79
ENSG00000009694	TENM1	0	1	2	2	1	0	2	0	0	0	0	0
ENSG00000009709	PAX7	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000009724	MASP2	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000009765	IYD	2	1	9	2	2	3	3	3	4	3	5	1
ENSG00000009780	FAM76A	80	85	77	83	79	87	81	106	78	69	56	48
ENSG00000009790	TRAF3IP3	3	6	3	7	3	4	2	4	0	0	1	1
ENSG00000009830	POMT2	327	324	317	359	304	265	377	368	272	304	337	302
ENSG00000009844	VTA1	1310	1269	1439	1370	1247	1272	1409	1406	1005	1032	788	790
ENSG00000009950	MLXIPL	0	0	4	0	0	0	2	0	0	0	0	0
ENSG00000009954	BAZ1B	527	500	559	625	443	464	564	542	420	435	433	413
ENSG00000010017	RANBP9	316	308	337	296	283	259	292	315	232	247	187	201
ENSG00000010030	ETV7	77	56	59	71	51	54	86	77	47	56	63	62
ENSG00000010072	SPRTN	199	177	227	240	207	217	232	216	178	161	183	159
ENSG00000010165	EEF1AKNMT	568	565	683	658	474	503	617	569	475	521	507	545
ENSG00000010219	DYRK4	184	148	159	175	133	143	145	135	99	123	111	125
ENSG00000010244	ZNF207	1843	1894	1970	1854	1753	1775	1652	1620	1301	1227	1395	1338
ENSG00000010256	UQCRC1	5069	5015	5527	5505	4664	4742	5496	5311	4554	4364	4823	4515
ENSG00000010270	STARD3NL	738	731	751	700	787	755	776	780	543	556	518	511
ENSG00000010278	CD9	5636	5529	5598	5486	4707	4535	6799	6868	4491	4343	4563	4600
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	362	359	418	349	284	259	394	371	272	305	372	358
ENSG00000010295	IFFO1	24	24	30	30	24	40	33	20	14	22	20	29
ENSG00000010310	GIPR	19	27	40	50	42	29	45	45	42	34	34	38
ENSG00000010318	PHF7	38	41	35	38	25	35	49	51	41	46	26	24
ENSG00000010319	SEMA3G	0	0	0	1	0	1	2	2	0	0	0	0
ENSG00000010322	NISCH	1157	1095	1130	1170	966	971	1370	1391	898	886	1059	1038
ENSG00000010327	STAB1	1	1	2	0	0	0	0	1	1	2	0	0
ENSG00000010361	FUZ	54	51	51	45	80	50	78	77	30	47	53	51
ENSG00000010379	SLC6A13	0	0	0	1	2	0	0	0	0	1	1	0
ENSG00000010404	IDS	940	960	1059	1086	903	879	1112	1074	929	927	800	773
ENSG00000010438	PRSS3	78	81	65	75	80	75	65	64	64	64	83	87
ENSG00000010539	ZNF200	128	139	147	164	124	96	122	112	102	120	110	84
ENSG00000010610	CD4	0	3	3	1	3	8	3	1	2	4	4	1
ENSG00000010626	LRRC23	54	52	60	54	36	44	51	57	44	59	48	36
ENSG00000010671	BTK	2	0	1	0	0	0	1	1	0	1	0	0
ENSG00000010704	HFE	132	131	75	104	101	101	148	154	129	113	88	95
ENSG00000010803	SCMH1	185	209	157	177	182	177	260	254	174	180	200	221
ENSG00000010810	FYN	623	614	733	724	582	558	419	504	354	370	455	451
ENSG00000010818	HIVEP2	303	294	326	311	290	239	286	287	262	248	378	361
ENSG00000010932	FMO1	2	1	1	0	6	4	1	2	1	1	2	2
ENSG00000011007	ELOA	966	998	1162	1124	1016	1070	773	793	695	626	786	800
ENSG00000011009	LYPLA2	2658	2600	2753	2788	2228	2250	2242	2365	1663	1601	2106	2119
ENSG00000011021	CLCN6	60	78	82	76	67	53	85	90	69	64	101	81
ENSG00000011028	MRC2	2520	2465	1611	1673	1676	1730	2201	2178	1576	1496	2181	2031
ENSG00000011052	NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	SLC6A7	2	2	10	3	3	1	3	2	0	0	1	2
ENSG00000011105	TSPAN9	73	66	83	59	95	74	76	85	41	52	84	61
ENSG00000011114	BTBD7	468	426	483	481	399	430	497	456	358	345	415	406
ENSG00000011132	APBA3	436	420	477	516	416	371	425	406	361	353	399	393
ENSG00000011143	MKS1	184	213	184	176	156	193	183	175	154	161	153	163
ENSG00000011198	ABHD5	403	377	363	371	329	385	421	405	298	290	248	258
ENSG00000011201	ANOS1	315	332	324	275	347	347	322	299	230	219	188	205
ENSG00000011243	AKAP8L	901	901	1199	1102	825	811	987	1031	876	924	945	1002
ENSG00000011258	MBTD1	34	18	37	32	36	30	52	55	34	31	25	21
ENSG00000011260	UTP18	228	214	270	320	238	200	225	244	171	207	187	188
ENSG00000011275	RNF216	503	512	536	509	492	457	450	523	421	390	464	459
ENSG00000011295	TTC19	950	964	1075	1078	953	971	851	776	640	632	557	531
ENSG00000011304	PTBP1	2146	2205	2318	2295	1998	2010	2012	1985	1821	1807	2101	1955
ENSG00000011332	DPF1	2	2	5	2	2	2	0	2	2	1	0	1
ENSG00000011347	SYT7	52	58	79	82	42	43	94	99	102	89	89	70
ENSG00000011376	LARS2	387	406	382	359	325	361	351	349	297	269	325	337
ENSG00000011405	PIK3C2A	446	390	461	495	420	371	572	578	367	364	312	370
ENSG00000011422	PLAUR	3610	3588	4898	4809	3318	3211	1789	1782	1156	1203	1648	1628
ENSG00000011426	ANLN	65	79	109	120	72	79	102	94	67	89	65	66
ENSG00000011451	WIZ	355	321	358	327	335	341	370	371	252	251	291	342
ENSG00000011454	RABGAP1	789	824	839	818	762	732	901	902	686	662	653	674
ENSG00000011465	DCN	10	10	11	12	11	18	49	45	37	36	33	26
ENSG00000011478	QPCTL	40	49	53	43	46	51	42	24	67	48	51	46
ENSG00000011485	PPP5C	686	745	788	801	713	621	673	691	555	600	599	617
ENSG00000011523	CEP68	239	208	249	268	179	183	286	285	274	319	231	275
ENSG00000011566	MAP4K3	489	437	425	462	437	416	497	532	350	330	317	272
ENSG00000011590	ZBTB32	0	0	0	0	0	0	2	3	0	0	0	1
ENSG00000011600	TYROBP	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000011638	TMEM159	698	684	738	665	601	574	633	612	520	481	526	488
ENSG00000011677	GABRA3	11	18	16	8	6	7	7	11	6	5	13	5
ENSG00000012048	BRCA1	26	27	15	23	19	16	14	11	13	12	20	22
ENSG00000012061	ERCC1	701	683	692	774	664	700	692	672	479	429	702	652
ENSG00000012124	CD22	0	2	5	2	0	0	2	3	0	0	0	0
ENSG00000012171	SEMA3B	470	465	597	631	359	372	432	430	268	292	345	354
ENSG00000012174	MBTPS2	429	410	401	435	456	430	489	478	363	323	335	302
ENSG00000012211	PRICKLE3	273	264	262	223	258	216	274	269	227	228	200	243
ENSG00000012223	LTF	44	40	7	12	45	48	100	93	35	42	93	81
ENSG00000012232	EXTL3	1481	1442	1479	1469	1220	1249	1395	1383	1109	1090	1280	1373
ENSG00000012504	NR1H4	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000012660	ELOVL5	1166	1107	997	985	1221	1135	1346	1392	1017	959	889	885
ENSG00000012779	ALOX5	254	227	183	188	212	217	250	251	152	145	181	210
ENSG00000012817	KDM5D	254	221	268	280	250	239	253	275	257	258	252	257
ENSG00000012822	CALCOCO1	1282	1274	1229	1240	1129	1106	1349	1352	867	847	1016	1087
ENSG00000012963	UBR7	246	240	285	232	273	253	273	262	198	188	173	221
ENSG00000012983	MAP4K5	735	676	707	663	666	737	777	714	495	548	481	480
ENSG00000013016	EHD3	925	945	1121	1129	804	803	630	604	505	505	493	542
ENSG00000013275	PSMC4	1435	1288	1554	1441	1308	1279	1217	1118	952	898	967	962
ENSG00000013288	MAN2B2	940	916	905	966	856	788	898	950	666	641	859	826
ENSG00000013293	SLC7A14	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000013297	CLDN11	1	3	0	0	5	3	2	0	2	1	3	3
ENSG00000013306	SLC25A39	3520	3465	3902	3815	3232	3113	3582	3313	2848	2880	3240	3274
ENSG00000013364	MVP	6960	6985	7705	7648	5638	5610	7126	6880	5522	5541	6631	6369
ENSG00000013374	NUB1	378	378	386	347	355	345	364	366	255	280	283	293
ENSG00000013375	PGM3	741	743	884	875	890	963	628	643	517	551	543	561
ENSG00000013392	RWDD2A	67	69	96	98	73	57	62	63	65	50	33	41
ENSG00000013441	CLK1	102	103	141	134	133	108	172	159	168	161	111	122
ENSG00000013503	POLR3B	215	230	219	221	210	221	194	204	131	126	122	108
ENSG00000013523	ANGEL1	341	349	375	397	368	343	406	441	404	409	385	394
ENSG00000013561	RNF14	1065	1045	1167	1135	1017	1077	1186	1164	869	887	906	833
ENSG00000013563	DNASE1L1	65	57	69	60	61	67	87	119	43	48	70	55
